dteday,temp,cnt,hr
2011-07-30,0.804167,4475,
2011-07-31,0.805833,4302,
2011-08-01,0.771667,4266,
2011-08-02,0.783333,4845,
2011-08-03,0.731667,3574,
2011-08-04,0.71,4576,
2011-08-05,0.710833,4866,
2011-08-06,0.716667,4294,
2011-08-07,0.7425,3785,
2011-08-08,0.765,4326,
2011-08-09,0.775,4602,
2011-08-10,0.766667,4780,
2011-08-11,0.7175,4792,
2011-08-12,0.708333,4905,
2011-08-13,0.685833,4150,
2011-08-14,0.676667,3820,
2011-08-15,0.665833,4338,
2011-08-16,0.700833,4725,
2011-08-17,0.723333,4694,
2011-08-18,0.711667,3805,
2011-08-19,0.685,4153,
2011-08-20,0.6975,5191,
2011-08-21,0.710833,3873,
2011-08-22,0.691667,4758,
2011-08-23,0.640833,5895,
2011-08-24,0.673333,5130,
2011-08-25,0.684167,3542,
2011-08-26,0.7,4661,
2011-08-27,0.68,1115,
2011-08-28,0.707059,4334,
2011-08-29,0.636667,4634,
2011-08-30,0.639167,5204,
2011-08-31,0.656667,5058,
2011-09-01,0.655,5115,
2011-09-02,0.643333,4727,
2011-09-03,0.669167,4484,
2011-09-04,0.709167,4940,
2011-09-05,0.673333,3351,
2011-09-06,0.54,2710,
2011-09-07,0.599167,1996,
2011-09-08,0.633913,1842,
2011-09-09,0.65,3544,
2011-09-10,0.66,5345,
2011-09-11,0.653333,5046,
2011-09-12,0.644348,4713,
2011-09-13,0.650833,4763,
2011-09-14,0.673333,4785,
2011-09-15,0.5775,3659,
2011-09-16,0.469167,4760,
2011-09-17,0.491667,4511,
2011-09-18,0.5075,4274,
2011-09-19,0.549167,4539,
2011-09-20,0.561667,3641,
2011-09-21,0.595,4352,
2011-09-22,0.628333,4795,
2011-09-23,0.609167,2395,
2011-09-24,0.606667,5423,
2011-09-25,0.634167,5010,
2011-09-26,0.649167,4630,
2011-09-27,0.636667,4120,
2011-09-28,0.635,3907,
2011-09-29,0.616667,4839,
2011-09-30,0.564167,5202,
2011-10-01,0.41,2429,
2011-10-02,0.356667,2918,
2011-10-03,0.384167,3570,
2011-10-04,0.484167,4456,
2011-10-05,0.538333,4826,
2011-10-06,0.494167,4765,
2011-10-07,0.510833,4985,
2011-10-08,0.521667,5409,
2011-10-09,0.540833,5511,
2011-10-10,0.570833,5117,
2011-10-11,0.566667,4563,
2011-10-12,0.543333,2416,
2011-10-13,0.589167,2913,
2011-10-14,0.550833,3644,
2011-10-15,0.506667,5217,
2011-10-16,0.511667,5041,
2011-10-17,0.534167,4570,
2011-10-18,0.5325,4748,
2011-10-19,0.541739,2424,
2011-10-20,0.475833,4195,
2011-10-21,0.4275,4304,
2011-10-22,0.4225,4308,
2011-10-23,0.421667,4381,
2011-10-24,0.463333,4187,
2011-10-25,0.471667,4687,
2011-10-26,0.484167,3894,
2011-10-27,0.47,2659,
2011-10-28,0.330833,3747,
2011-10-29,0.254167,627,
2011-10-30,0.319167,3331,
2011-10-31,0.34,3669,
2011-11-01,0.400833,4068,
2011-11-02,0.3775,4186,
2011-11-03,0.408333,3974,
2011-11-04,0.403333,4046,
2011-11-05,0.326667,3926,
2011-11-06,0.348333,3649,
2011-11-07,0.395,4035,
2011-11-08,0.408333,4205,
2011-11-09,0.4,4109,
2011-11-10,0.38,2933,
2011-11-11,0.324167,3368,
2011-11-12,0.356667,4067,
2011-11-13,0.440833,3717,
2011-11-14,0.53,4486,
2011-11-15,0.53,4195,
2011-11-16,0.456667,1817,
2011-11-17,0.341667,3053,
2011-11-18,0.274167,3392,
2011-11-19,0.329167,3663,
2011-11-20,0.463333,3520,
2011-11-21,0.4475,2765,
2011-11-22,0.416667,1607,
2011-11-23,0.440833,2566,
2011-11-24,0.373333,1495,
2011-11-25,0.375,2792,
2011-11-26,0.375833,3068,
2011-11-27,0.459167,3071,
2011-11-28,0.503478,3867,
2011-11-29,0.458333,2914,
2011-11-30,0.325,3613,
2011-12-01,0.3125,3727,
2011-12-02,0.314167,3940,
2011-12-03,0.299167,3614,
2011-12-04,0.330833,3485,
2011-12-05,0.385833,3811,
2011-12-06,0.4625,2594,
2011-12-07,0.41,705,
2011-12-08,0.265833,3322,
2011-12-09,0.290833,3620,
2011-12-10,0.275,3190,
2011-12-11,0.220833,2743,
2011-12-12,0.238333,3310,
2011-12-13,0.2825,3523,
2011-12-14,0.3175,3740,
2011-12-15,0.4225,3709,
2011-12-16,0.375,3577,
2011-12-17,0.258333,2739,
2011-12-18,0.238333,2431,
2011-12-19,0.276667,3403,
2011-12-20,0.385833,3750,
2011-12-21,0.428333,2660,
2011-12-22,0.423333,3068,
2011-12-23,0.373333,2209,
2011-12-24,0.3025,1011,
2011-12-25,0.274783,754,
2011-12-26,0.321739,1317,
2011-12-27,0.325,1162,
2011-12-28,0.29913,2302,
2011-12-29,0.248333,2423,
2011-12-30,0.311667,2999,
2011-12-31,0.41,2485,
2012-01-01,0.37,2294,
2012-01-02,0.273043,1951,
2012-01-03,0.15,2236,
2012-01-04,0.1075,2368,
2012-01-05,0.265833,3272,
2012-01-06,0.334167,4098,
2012-01-07,0.393333,4521,
2012-01-08,0.3375,3425,
2012-01-09,0.224167,2376,
2012-01-10,0.308696,3598,
2012-01-11,0.274167,2177,
2012-01-12,0.3825,4097,
2012-01-13,0.274167,3214,
2012-01-14,0.18,2493,
2012-01-15,0.166667,2311,
2012-01-16,0.19,2298,
2012-01-17,0.373043,2935,
2012-01-18,0.303333,3376,
2012-01-19,0.19,3292,
2012-01-20,0.2175,3163,
2012-01-21,0.173333,1301,
2012-01-22,0.1625,1977,
2012-01-23,0.218333,2432,
2012-01-24,0.3425,4339,
2012-01-25,0.294167,4270,
2012-01-26,0.341667,4075,
2012-01-27,0.425,3456,
2012-01-28,0.315833,4023,
2012-01-29,0.2825,3243,
2012-01-30,0.269167,3624,
2012-01-31,0.39,4509,
2012-02-01,0.469167,4579,
2012-02-02,0.399167,3761,
2012-02-03,0.313333,4151,
2012-02-04,0.264167,2832,
2012-02-05,0.265833,2947,
2012-02-06,0.282609,3784,
2012-02-07,0.354167,4375,
2012-02-08,0.256667,2802,
2012-02-09,0.265,3830,
2012-02-10,0.280833,3831,
2012-02-11,0.224167,2169,
2012-02-12,0.1275,1529,
2012-02-13,0.2225,3422,
2012-02-14,0.319167,3922,
2012-02-15,0.348333,4169,
2012-02-16,0.316667,3005,
2012-02-17,0.343333,4154,
2012-02-18,0.346667,4318,
2012-02-19,0.28,2689,
2012-02-20,0.28,3129,
2012-02-21,0.287826,3777,
2012-02-22,0.395833,4773,
2012-02-23,0.454167,5062,
2012-02-24,0.4075,3487,
2012-02-25,0.290833,2732,
2012-02-26,0.279167,3389,
2012-02-27,0.366667,4322,
2012-02-28,0.359167,4363,
2012-02-29,0.344348,1834,
2012-03-01,0.485833,4990,
2012-03-02,0.353333,3194,
2012-03-03,0.414167,4066,
2012-03-04,0.325833,3423,
2012-03-05,0.243333,3333,
2012-03-06,0.258333,3956,
2012-03-07,0.404167,4916,
2012-03-08,0.5275,5382,
2012-03-09,0.410833,4569,
2012-03-10,0.2875,4118,
2012-03-11,0.361739,4911,
2012-03-12,0.466667,5298,
2012-03-13,0.565,5847,
2012-03-14,0.5725,6312,
2012-03-15,0.5575,6192,
2012-03-16,0.435833,4378,
2012-03-17,0.514167,7836,
2012-03-18,0.4725,5892,
2012-03-19,0.545,6153,
2012-03-20,0.560833,6093,
2012-03-21,0.531667,6230,
2012-03-22,0.554167,6871,
2012-03-23,0.601667,8362,
2012-03-24,0.5025,3372,
2012-03-25,0.4375,4996,
2012-03-26,0.445833,5558,
2012-03-27,0.323333,5102,
2012-03-28,0.484167,5698,
2012-03-29,0.494167,6133,
2012-03-30,0.37,5459,
2012-03-31,0.424167,6235,
2012-04-01,0.425833,6041,
2012-04-02,0.433913,5936,
2012-04-03,0.466667,6772,
2012-04-04,0.541667,6436,
2012-04-05,0.435,6457,
2012-04-06,0.403333,6460,
2012-04-07,0.4375,6857,
2012-04-08,0.5,5169,
2012-04-09,0.489167,5585,
2012-04-10,0.446667,5918,
2012-04-11,0.348696,4862,
2012-04-12,0.3975,5409,
2012-04-13,0.4425,6398,
2012-04-14,0.495,7460,
2012-04-15,0.606667,7132,
2012-04-16,0.664167,6370,
2012-04-17,0.608333,6691,
2012-04-18,0.463333,4367,
2012-04-19,0.498333,6565,
2012-04-20,0.526667,7290,
2012-04-21,0.57,6624,
2012-04-22,0.396667,1027,
2012-04-23,0.321667,3214,
2012-04-24,0.413333,5633,
2012-04-25,0.476667,6196,
2012-04-26,0.498333,5026,
2012-04-27,0.4575,6233,
2012-04-28,0.376667,4220,
2012-04-29,0.458333,6304,
2012-04-30,0.464167,5572,
2012-05-01,0.613333,5740,
2012-05-02,0.564167,6169,
2012-05-03,0.56,6421,
2012-05-04,0.6275,6296,
2012-05-05,0.621667,6883,
2012-05-06,0.5625,6359,
2012-05-07,0.5375,6273,
2012-05-08,0.581667,5728,
2012-05-09,0.575,4717,
2012-05-10,0.505833,6572,
2012-05-11,0.533333,7030,
2012-05-12,0.564167,7429,
2012-05-13,0.6125,6118,
2012-05-14,0.573333,2843,
2012-05-15,0.611667,5115,
2012-05-16,0.636667,7424,
2012-05-17,0.593333,7384,
2012-05-18,0.564167,7639,
2012-05-19,0.6,8294,
2012-05-20,0.620833,7129,
2012-05-21,0.598333,4359,
2012-05-22,0.615,6073,
2012-05-23,0.621667,5260,
2012-05-24,0.655,6770,
2012-05-25,0.68,6734,
2012-05-26,0.6925,6536,
2012-05-27,0.69,6591,
2012-05-28,0.7125,6043,
2012-05-29,0.7225,5743,
2012-05-30,0.656667,6855,
2012-05-31,0.68,7338,
2012-06-01,0.654167,4127,
2012-06-02,0.583333,8120,
2012-06-03,0.6025,7641,
2012-06-04,0.5975,6998,
2012-06-05,0.540833,7001,
2012-06-06,0.554167,7055,
2012-06-07,0.6025,7494,
2012-06-08,0.649167,7736,
2012-06-09,0.710833,7498,
2012-06-10,0.726667,6598,
2012-06-11,0.720833,6664,
2012-06-12,0.653333,4972,
2012-06-13,0.655833,7421,
2012-06-14,0.648333,7363,
2012-06-15,0.639167,7665,
2012-06-16,0.631667,7702,
2012-06-17,0.5925,6978,
2012-06-18,0.568333,5099,
2012-06-19,0.688333,6825,
2012-06-20,0.7825,6211,
2012-06-21,0.805833,5905,
2012-06-22,0.7775,5823,
2012-06-23,0.731667,7458,
2012-06-24,0.743333,6891,
2012-06-25,0.715833,6779,
2012-06-26,0.630833,7442,
2012-06-27,0.6975,7335,
2012-06-28,0.749167,6879,
2012-06-29,0.834167,5463,
2012-06-30,0.765,5687,
2012-07-01,0.815833,5531,
2012-07-02,0.781667,6227,
2012-07-03,0.780833,6660,
2012-07-04,0.789167,7403,
2012-07-05,0.8275,6241,
2012-07-06,0.828333,6207,
2012-07-07,0.861667,4840,
2012-07-08,0.8225,4672,
2012-07-09,0.710833,6569,
2012-07-10,0.720833,6290,
2012-07-11,0.716667,7264,
2012-07-12,0.715833,7446,
2012-07-13,0.731667,7499,
2012-07-14,0.703333,6969,
2012-07-15,0.745833,6031,
2012-07-16,0.763333,6830,
2012-07-17,0.818333,6786,
2012-07-18,0.793333,5713,
2012-07-19,0.77,6591,
2012-07-20,0.665833,5870,
2012-07-21,0.595833,4459,
2012-07-22,0.6675,7410,
2012-07-23,0.741667,6966,
2012-07-24,0.750833,7592,
2012-07-25,0.724167,8173,
2012-07-26,0.776667,6861,
2012-07-27,0.781667,6904,
2012-07-28,0.755833,6685,
2012-07-29,0.721667,6597,
2012-07-30,0.730833,7105,
2012-07-31,0.713333,7216,
2012-08-01,0.7175,7580,
2012-08-02,0.7525,7261,
2012-08-03,0.765833,7175,
2012-08-04,0.793333,6824,
2012-08-05,0.769167,5464,
2012-08-06,0.7525,7013,
2012-08-07,0.735833,7273,
2012-08-08,0.75,7534,
2012-08-09,0.755833,7286,
2012-08-10,0.715833,5786,
2012-08-11,0.6925,6299,
2012-08-12,0.700833,6544,
2012-08-13,0.720833,6883,
2012-08-14,0.726667,6784,
2012-08-15,0.706667,7347,
2012-08-16,0.719167,7605,
2012-08-17,0.723333,7148,
2012-08-18,0.678333,7865,
2012-08-19,0.635833,4549,
2012-08-20,0.635833,6530,
2012-08-21,0.649167,7006,
2012-08-22,0.6675,7375,
2012-08-23,0.695833,7765,
2012-08-24,0.7025,7582,
2012-08-25,0.661667,6053,
2012-08-26,0.653333,5255,
2012-08-27,0.703333,6917,
2012-08-28,0.728333,7040,
2012-08-29,0.685,7697,
2012-08-30,0.706667,7713,
2012-08-31,0.764167,7350,
2012-09-01,0.753333,6140,
2012-09-02,0.696667,5810,
2012-09-03,0.7075,6034,
2012-09-04,0.725833,6864,
2012-09-05,0.736667,7112,
2012-09-06,0.696667,6203,
2012-09-07,0.703333,7504,
2012-09-08,0.659167,5976,
2012-09-09,0.61,8227,
2012-09-10,0.583333,7525,
2012-09-11,0.5775,7767,
2012-09-12,0.599167,7870,
2012-09-13,0.6125,7804,
2012-09-14,0.633333,8009,
2012-09-15,0.608333,8714,
2012-09-16,0.58,7333,
2012-09-17,0.580833,6869,
2012-09-18,0.623333,4073,
2012-09-19,0.5525,7591,
2012-09-20,0.546667,7720,
2012-09-21,0.599167,8167,
2012-09-22,0.65,8395,
2012-09-23,0.529167,7907,
2012-09-24,0.514167,7436,
2012-09-25,0.55,7538,
2012-09-26,0.635,7733,
2012-09-27,0.65,7393,
2012-09-28,0.619167,7415,
2012-09-29,0.5425,8555,
2012-09-30,0.526667,6889,
2012-10-01,0.520833,6778,
2012-10-02,0.590833,4639,
2012-10-03,0.6575,7572,
2012-10-04,0.6575,7328,
2012-10-05,0.615,8156,
2012-10-06,0.554167,7965,
2012-10-07,0.415833,3510,
2012-10-08,0.383333,5478,
2012-10-09,0.446667,6392,
2012-10-10,0.514167,7691,
2012-10-11,0.435,7570,
2012-10-12,0.4375,7282,
2012-10-13,0.393333,7109,
2012-10-14,0.521667,6639,
2012-10-15,0.561667,5875,
2012-10-16,0.468333,7534,
2012-10-17,0.455833,7461,
2012-10-18,0.5225,7509,
2012-10-19,0.563333,5424,
2012-10-20,0.484167,8090,
2012-10-21,0.464167,6824,
2012-10-22,0.4875,7058,
2012-10-23,0.544167,7466,
2012-10-24,0.5875,7693,
2012-10-25,0.55,7359,
2012-10-26,0.545833,7444,
2012-10-27,0.53,7852,
2012-10-28,0.4775,4459,
2012-10-29,0.44,22,
2012-10-30,0.318182,1096,
2012-10-31,0.3575,5566,
2012-11-01,0.365833,5986,
2012-11-02,0.355,5847,
2012-11-03,0.343333,5138,
2012-11-04,0.325833,5107,
2012-11-05,0.319167,5259,
2012-11-06,0.280833,5686,
2012-11-07,0.295833,5035,
2012-11-08,0.352174,5315,
2012-11-09,0.361667,5992,
2012-11-10,0.389167,6536,
2012-11-11,0.420833,6852,
2012-11-12,0.485,6269,
2012-11-13,0.343333,4094,
2012-11-14,0.289167,5495,
2012-11-15,0.321667,5445,
2012-11-16,0.345,5698,
2012-11-17,0.325,5629,
2012-11-18,0.3425,4669,
2012-11-19,0.380833,5499,
2012-11-20,0.374167,5634,
2012-11-21,0.353333,5146,
2012-11-22,0.34,2425,
2012-11-23,0.368333,3910,
2012-11-24,0.278333,2277,
2012-11-25,0.245833,2424,
2012-11-26,0.313333,5087,
2012-11-27,0.291667,3959,
2012-11-28,0.296667,5260,
2012-11-29,0.28087,5323,
2012-11-30,0.298333,5668,
2012-12-01,0.298333,5191,
2012-12-02,0.3475,4649,
2012-12-03,0.4525,6234,
2012-12-04,0.475833,6606,
2012-12-05,0.438333,5729,
2012-12-06,0.255833,5375,
2012-12-07,0.320833,5008,
2012-12-08,0.381667,5582,
2012-12-09,0.384167,3228,
2012-12-10,0.435833,5170,
2012-12-11,0.353333,5501,
2012-12-12,0.2975,5319,
2012-12-13,0.295833,5532,
2012-12-14,0.281667,5611,
2012-12-15,0.324167,5047,
2012-12-16,0.3625,3786,
2012-12-17,0.393333,4585,
2012-12-18,0.410833,5557,
2012-12-19,0.3325,5267,
2012-12-20,0.33,4128,
2012-12-21,0.326667,3623,
2012-12-22,0.265833,1749,
2012-12-23,0.245833,1787,
2012-12-24,0.231304,920,
2012-12-25,0.291304,1013,
2012-12-26,0.243333,441,
2012-12-27,0.254167,2114,
2012-12-28,0.253333,3095,
2012-12-29,0.253333,1341,
2012-12-30,0.255833,1796,
2012-12-31,0.215833,2729,
2011-01-01,0.24,16,0.0
2011-01-01,0.22,40,1.0
2011-01-01,0.22,32,2.0
2011-01-01,0.24,13,3.0
2011-01-01,0.24,1,4.0
2011-01-01,0.24,1,5.0
2011-01-01,0.22,2,6.0
2011-01-01,0.2,3,7.0
2011-01-01,0.24,8,8.0
2011-01-01,0.32,14,9.0
2011-01-01,0.38,36,10.0
2011-01-01,0.36,56,11.0
2011-01-01,0.42,84,12.0
2011-01-01,0.46,94,13.0
2011-01-01,0.46,106,14.0
2011-01-01,0.44,110,15.0
2011-01-01,0.42,93,16.0
2011-01-01,0.44,67,17.0
2011-01-01,0.42,35,18.0
2011-01-01,0.42,37,19.0
2011-01-01,0.4,36,20.0
2011-01-01,0.4,34,21.0
2011-01-01,0.4,28,22.0
2011-01-01,0.46,39,23.0
2011-01-02,0.46,17,0.0
2011-01-02,0.44,17,1.0
2011-01-02,0.42,9,2.0
2011-01-02,0.46,6,3.0
2011-01-02,0.46,3,4.0
2011-01-02,0.42,2,6.0
2011-01-02,0.4,1,7.0
2011-01-02,0.4,8,8.0
2011-01-02,0.38,20,9.0
2011-01-02,0.36,53,10.0
2011-01-02,0.36,70,11.0
2011-01-02,0.36,93,12.0
2011-01-02,0.36,75,13.0
2011-01-02,0.36,59,14.0
2011-01-02,0.34,74,15.0
2011-01-02,0.34,76,16.0
2011-01-02,0.34,65,17.0
2011-01-02,0.36,53,18.0
2011-01-02,0.32,30,19.0
2011-01-02,0.3,22,20.0
2011-01-02,0.26,31,21.0
2011-01-02,0.24,9,22.0
2011-01-02,0.22,8,23.0
2011-01-03,0.22,5,0.0
2011-01-03,0.2,2,1.0
2011-01-03,0.16,1,4.0
2011-01-03,0.16,3,5.0
2011-01-03,0.14,30,6.0
2011-01-03,0.14,64,7.0
2011-01-03,0.14,154,8.0
2011-01-03,0.16,88,9.0
2011-01-03,0.18,44,10.0
2011-01-03,0.2,51,11.0
2011-01-03,0.22,61,12.0
2011-01-03,0.24,61,13.0
2011-01-03,0.26,77,14.0
2011-01-03,0.26,72,15.0
2011-01-03,0.26,76,16.0
2011-01-03,0.24,157,17.0
2011-01-03,0.24,157,18.0
2011-01-03,0.2,110,19.0
2011-01-03,0.2,52,20.0
2011-01-03,0.18,52,21.0
2011-01-03,0.14,20,22.0
2011-01-03,0.18,12,23.0
2011-01-04,0.16,5,0.0
2011-01-04,0.16,2,1.0
2011-01-04,0.14,1,2.0
2011-01-04,0.14,2,4.0
2011-01-04,0.12,4,5.0
2011-01-04,0.12,36,6.0
2011-01-04,0.12,94,7.0
2011-01-04,0.14,179,8.0
2011-01-04,0.16,100,9.0
2011-01-04,0.16,42,10.0
2011-01-04,0.22,57,11.0
2011-01-04,0.22,78,12.0
2011-01-04,0.24,97,13.0
2011-01-04,0.26,63,14.0
2011-01-04,0.28,65,15.0
2011-01-04,0.3,83,16.0
2011-01-04,0.28,212,17.0
2011-01-04,0.26,182,18.0
2011-01-04,0.24,112,19.0
2011-01-04,0.24,54,20.0
2011-01-04,0.22,48,21.0
2011-01-04,0.22,35,22.0
2011-01-04,0.2,11,23.0
2011-01-05,0.2,6,0.0
2011-01-05,0.16,6,1.0
2011-01-05,0.16,2,2.0
2011-01-05,0.24,2,4.0
2011-01-05,0.22,3,5.0
2011-01-05,0.2,33,6.0
2011-01-05,0.18,88,7.0
2011-01-05,0.2,195,8.0
2011-01-05,0.22,115,9.0
2011-01-05,0.22,57,10.0
2011-01-05,0.26,46,11.0
2011-01-05,0.26,79,12.0
2011-01-05,0.28,71,13.0
2011-01-05,0.3,62,14.0
2011-01-05,0.3,62,15.0
2011-01-05,0.3,89,16.0
2011-01-05,0.24,190,17.0
2011-01-05,0.24,169,18.0
2011-01-05,0.24,132,19.0
2011-01-05,0.22,89,20.0
2011-01-05,0.2,43,21.0
2011-01-05,0.18,42,22.0
2011-01-05,0.2,19,23.0
2011-01-06,0.18,11,0.0
2011-01-06,0.16,4,1.0
2011-01-06,0.16,2,2.0
2011-01-06,0.16,1,4.0
2011-01-06,0.14,4,5.0
2011-01-06,0.14,36,6.0
2011-01-06,0.16,95,7.0
2011-01-06,0.16,219,8.0
2011-01-06,0.18,122,9.0
2011-01-06,0.2,45,10.0
2011-01-06,0.22,59,11.0
2011-01-06,0.26,84,12.0
2011-01-06,0.26,67,13.0
2011-01-06,0.28,70,14.0
2011-01-06,0.28,62,15.0
2011-01-06,0.26,86,16.0
2011-01-06,0.22,172,17.0
2011-01-06,0.22,163,18.0
2011-01-06,0.22,112,19.0
2011-01-06,0.2,69,20.0
2011-01-06,0.22,48,21.0
2011-01-06,0.22,52,22.0
2011-01-06,0.2,23,23.0
2011-01-07,0.2,17,0.0
2011-01-07,0.2,7,1.0
2011-01-07,0.2,1,2.0
